driverId,week,hours-logged,miles-logged
107,4,79,2700
90,11,59,0
12,31,76,500
49,7,70,1700
109,48,76,1600
97,26,65,3000
32,49,55,400
76,2,63,1500
54,35,70,1600
84,21,58,3500
57,3,78,2200
92,27,57,3800
46,31,76,2200
62,47,69,3600
24,36,54,3600
83,30,79,1900
94,37,60,3400
50,33,71,500
104,10,52,400
79,51,64,2400
96,35,70,200
51,11,52,300
100,13,75,3700
10,25,73,1000
78,4,50,400
35,16,77,1200
58,24,52,2200
24,49,56,1600
69,39,60,800
22,25,68,0
61,17,61,1400
59,31,70,3300
89,31,61,3100
70,44,58,1300
101,28,62,3900
13,33,72,800
13,1,80,3200
19,51,61,2300
78,16,80,1900
104,8,77,1100
92,13,50,3600
84,25,62,3800
13,13,64,400
24,49,57,2900
64,40,78,3000
14,44,64,2800
19,37,71,3000
25,26,60,3100
77,25,80,1400
35,21,73,3700
46,44,73,3300
32,35,71,2600
75,32,58,1500
53,48,53,400
75,5,78,2200
37,9,77,1600
90,6,67,1800
81,41,71,1100
89,39,72,600
67,20,73,3300
19,51,71,2300
45,17,50,3100
47,50,77,2600
92,36,69,2600
107,5,72,3400
107,46,53,1800
10,8,52,1300
75,48,67,100
70,11,76,2800
82,40,75,400
69,30,50,2200
69,42,62,800
107,40,63,3100
45,49,56,3200
83,41,75,2000
70,18,75,500
18,8,55,1200
107,32,71,100
99,27,64,3200
92,31,59,3500
41,35,66,500
19,25,72,3700
88,38,74,1400
80,15,71,1900
22,23,62,4000
63,11,51,400
106,48,62,3200
62,31,78,100
63,14,67,2700
71,7,63,200
37,20,76,2500
72,31,57,1400
53,6,68,2200
27,39,62,300
75,38,60,3200
82,49,75,2100
40,9,58,3900
16,24,73,4000
76,11,67,2100
50,48,76,2900
58,36,61,200
99,44,76,600
70,3,58,3700
106,26,65,1400
80,25,80,3900
17,19,77,2600
71,6,67,300
30,5,69,2500
98,29,65,1500
71,20,79,3600
89,34,55,1300
23,29,71,1500
26,35,73,400
92,15,59,3200
72,8,74,3600
35,12,60,1700
89,40,79,2900
78,41,75,1400
103,2,73,1600
39,28,54,2800
29,25,69,2000
69,6,62,0
28,5,55,2800
94,17,58,800
90,36,63,300
35,21,63,1500
101,7,53,800
99,38,71,2000
102,41,64,3900
40,19,66,2600
95,32,76,4000
52,22,67,0
22,46,71,2900
15,37,56,3000
31,32,68,1100
81,40,58,3300
31,34,63,3300
106,35,79,700
32,21,80,3300
12,29,69,1100
70,30,50,3000
40,52,54,1300
73,48,60,2600
74,30,79,1900
46,21,53,2400
25,1,50,700
92,14,53,0
62,42,73,2800
102,37,79,2500
48,44,57,1500
92,7,64,2800
61,51,61,1900
40,17,51,800
42,15,57,3000
85,19,51,3400
76,32,75,900
45,44,65,600
56,17,62,700
47,44,60,700
100,35,71,200
91,25,59,1800
69,1,76,900
12,11,62,3000
98,9,55,2300
57,10,74,2000
